,text,intent,domain,dataset
54,does us air have any flights out of atlanta to denver,flight,atis,train
55,what is booking class c,abbreviation,atis,train
56,i 'd like to know the shortest trip between boston and san francisco,flight,atis,train
58,what is the least expensive flight from denver to atlanta,flight,atis,train
59,i need to know information for flights leaving dallas on tuesday evening and returning to atlanta,flight,atis,train
60,what flight goes from denver to baltimore first class on united airlines arriving on may seventh,flight,atis,train
61,could you please tell me the airlines that fly from toronto to san diego,airline,atis,train
62,what flights do you have from burbank to tacoma washington,flight,atis,train
63,what is the ground transportation from philadelphia airport to the city proper,ground_service,atis,train
64,which airlines have first class flights today,airline,atis,train
65,find the latest flight from san francisco to atlanta that serves a meal,flight,atis,train
66,i would like to make a reservation for a flight to denver from philadelphia on this coming sunday,flight,atis,train
67,give me a list of airports in baltimore,airport,atis,train
68,show me flights from boston to denver on wednesday,flight,atis,train
69,show me the flights from boston to baltimore,flight,atis,train
70,what does fare code q mean,abbreviation,atis,train
71,please give me the flights from san francisco to washington dc,flight,atis,train
72,i need information from denver to pittsburgh,flight,atis,train
73,from seattle to salt lake city,flight,atis,train
74,what is the earliest flight from boston to bwi that serves a snack,flight,atis,train
76,what is the cost of a round trip flight from pittsburgh to atlanta beginning on april twenty fifth and returning on may sixth,airfare,atis,train
77,give me the flights leaving denver august ninth coming back to boston,flight,atis,train
78,list all the flights that fly into general mitchell international,flight,atis,train
79,what flights fly from denver to san francisco on monday tuesday wednesday thursday and friday,flight,atis,train
82,show me the flights on twa from atlanta in the morning,flight,atis,train
83,i want to find the first flight from baltimore to boston that serves a meal,flight,atis,train
84,of all airlines which airline has the most arrivals in atlanta,airline,atis,train
85,display all flights from baltimore to boston on july twenty ninth,flight,atis,train
86,i want to travel from atlanta to baltimore early in the morning first flight,flight,atis,train
87,i now need a flight from san jose to houston leaving on sunday the fourth,flight,atis,train
88,what are the flights available after 6 pm between san francisco and boston,flight,atis,train
89,what flights depart baltimore on friday and arrive in san francisco by 8 pm,flight,atis,train
90,show me flights from boston to san francisco,flight,atis,train
91,list the delta airlines flights from boston to philadelphia,flight,atis,train
92,show me the fares from dallas to san francisco,airfare,atis,train
93,what nonstop flights between boston and washington arrive after 4 o'clock pm,flight,atis,train
94,what is the distance from los angeles international airport to los angeles,distance,atis,train
95,ground transportation in san jose,ground_service,atis,train
96,please tell me how many nonstop flights there are from boston to atlanta,quantity,atis,train
97,on the earliest flight from san francisco to atlanta on delta is a meal being served,flight,atis,train
99,what flights from denver to pittsburgh arrive before 8 in the morning,flight,atis,train
100,find me the earliest flight from boston to atlanta,flight,atis,train
101,list nonstop flights from houston to dallas which arrive before midnight,flight,atis,train
102,show me the flights from boston to san francisco that stop in atlanta,flight,atis,train
103,show me flights to san francisco from philadelphia stopping in dallas,flight,atis,train
104,what city is the airport mco in,city,atis,train
105,how much does it cost to rent a car in tacoma,ground_fare,atis,train
106,show me flights from baltimore to dallas,flight,atis,train
108,i 'd like a flight from columbus to phoenix stopping in cincinnati and serving dinner what 's available,flight,atis,train
109,also show me flights from san francisco to pittsburgh on tuesday,flight,atis,train
110,show flights from dallas to oakland,flight,atis,train
111,give me the cheapest flight from charlotte to long beach,flight,atis,train
112,show me all flights from san francisco to pittsburgh,flight,atis,train
113,find me a flight on united from boston to san francisco with a stopover in denver,flight,atis,train
114,show me the last flight from love field,flight,atis,train
115,what flights go from newark to boston after 5 pm,flight,atis,train
116,what are all the flights from boston to dallas,flight,atis,train
117,what is the earliest flight departing san francisco and arriving in boston on november ninth,flight,atis,train
118,what is the earliest flight flying from pittsburgh to atlanta on july fifth,flight,atis,train
119,please list available flights for next saturday from philadelphia to dallas,flight,atis,train
120,what flights leave pittsburgh and arrive in los angeles after 5 pm on thursday,flight,atis,train
121,what is the transportation time from the airport to boston,ground_service,atis,train
122,which airline has the smallest plane leaving pittsburgh and arriving in baltimore on july fourth,airline,atis,train
123,what are the nonstop flights on america west or southwest air from kansas city to burbank on saturday may twenty two,flight,atis,train
124,what are the classes of service for american airlines,flight,atis,train
125,i would like to find out what flights there are on friday june eleventh from st. petersburg to milwaukee and then from milwaukee to tacoma thank you,flight,atis,train
126,all flights from boston to washington dc on november tenth,flight,atis,train
127,what are the flights from denver to san francisco,flight,atis,train
128,on the 8 am flight from san francisco to atlanta what type of aircraft is used,aircraft,atis,train
129,which flight is a one way fare at 329 dollars from denver to pittsburgh,flight,atis,train
131,okay i need to get a flight from houston to seattle,flight,atis,train
132,please list flights between denver and boston,flight,atis,train
134,i would like some information on flights leaving boston to atlanta,flight,atis,train
135,show me the latest nonstop flight from denver to washington dc,flight,atis,train
136,what are the flights from dallas to baltimore,flight,atis,train
137,i would like a nonstop flight from new york to las vegas on march second,flight,atis,train
138,no i want to go from denver to oakland,flight,atis,train
139,show me all the night fares between philadelphia and san francisco,airfare,atis,train
140,what kinds of ground transportation is available in dallas fort worth,ground_service,atis,train
141,can you show me economy class one way fares for flights from oakland to dallas on december sixteenth,airfare,atis,train
142,what is fare code qw,abbreviation,atis,train
144,what are the coach fares from charlotte to la wednesday night,airfare,atis,train
145,is there ground transportation available in denver,ground_service,atis,train
146,show me flights from philadelphia to oakland on friday,flight,atis,train
147,i would like to know the flights available from boston to denver arriving in denver by 8 o'clock wednesday morning,flight,atis,train
148,i would like to fly the cheapest rate available from pittsburgh to atlanta on wednesday morning,flight,atis,train
150,flights from memphis to las vegas on sunday,flight,atis,train
151,what is the first flight from atlanta to boston on thursday september fifth that leaves after 8 am,flight,atis,train
152,what is the first class fare on united flight 352 from denver to boston,airfare,atis,train
153,flight from philadelphia to dallas arriving before 4 pm on saturday,flight,atis,train
154,list flights tomorrow from san diego to phoenix,flight,atis,train
155,show me all flights from san francisco to washington dc area,flight,atis,train
156,sure i want to go from philadelphia to dallas,flight,atis,train
157,show me all the united airlines flights leaving dallas,flight,atis,train
158,can you list all the flights between phoenix and las vegas,flight,atis,train
159,list all flights from baltimore to philadelphia,flight,atis,train
160,round trip flights from minneapolis to san diego coach economy fare,flight,atis,train
161,i want to fly from boston to denver and i don 't want any stopovers and i 'd like to fly only during the afternoon,flight,atis,train
162,flights from denver to baltimore between 10 am and 2 pm,flight,atis,train
163,show me the flights from denver to atlanta,flight,atis,train
164,what flights are there on delta from boston to dallas,flight,atis,train
165,what kind of ground transportation can you offer me in seattle,ground_service,atis,train
166,leaving washington going to san francisco the latest flight,flight,atis,train
167,show me the flights available from atlanta to baltimore leaving atlanta in the morning,flight,atis,train
168,round trip fares new york to san jose,airfare,atis,train
169,which flights are serviced by american airlines,flight,atis,train
170,how do i get from pittsburgh airport to downtown pittsburgh,flight,atis,train
171,does midwest express serve charlotte,flight,atis,train
172,what flights from houston to milwaukee on friday in the evening on american airlines,flight,atis,train
173,what is the earliest flight going from san francisco to dallas on monday august nineteenth,flight,atis,train
176,i would like information on any flights from pittsburgh to san francisco leaving thursday evening,flight,atis,train
177,i need a cheap flight from baltimore to san francisco,flight,atis,train
179,what is the economy thrift fare from boston to washington,airfare,atis,train
180,list the nonstop flights early tuesday morning from dallas to atlanta,flight,atis,train
181,what is the earliest flight you have that leaves philadelphia to dallas,flight,atis,train
182,are there any flights from dallas fort worth to boston leaving before 10 am,flight,atis,train
183,show me all the flights to baltimore after 6 o'clock pm,flight,atis,train
184,i need a return flight from philadelphia to boston,flight,atis,train
185,united airlines flights stopping in denver before noon,flight,atis,train
187,what flights go from newark to boston after 1024 in the morning,flight,atis,train
188,shortest evening flight from tampa to cincinnati,flight,atis,train
189,how much time does it take to go between the airport and downtown by ground transportation in dallas,ground_service,atis,train
190,flights from boston to pittsburgh,flight,atis,train
191,i 'd like to fly continental airlines between boston and philadelphia,flight,atis,train
192,i would like to book a flight on continental airlines from chicago to seattle on june first,flight,atis,train
194,show me flights on sunday going from san francisco to boston nonstop first class leaving after 12 noon,flight,atis,train
195,from las vegas to phoenix,flight,atis,train
196,show me flights from pittsburgh to atlanta on monday afternoon,flight,atis,train
197,show me the flight with the smallest seating capacity which leaves pittsburgh and arrives in baltimore on june fourteenth,flight,atis,train
198,show all flights from boston to denver on july thirty first,flight,atis,train
199,are there any flights before 12 noon on june fifteenth from long beach to columbus,flight,atis,train
200,list daily flights from boston to atlanta,flight,atis,train
201,on a flight from san francisco to atlanta that leaves before 8 am is there such a flight,flight,atis,train
202,on united airlines give me the flight times from boston to dallas,flight_time,atis,train
203,ground transportation minneapolis,ground_service,atis,train
204,show me airline abbreviations,airline,atis,train
205,how many flights does delta have with a class of service code f,quantity,atis,train
206,please list all the arriving and departing flights from general mitchell international,flight,atis,train
209,what flights leave phoenix on american airlines,flight,atis,train
210,can you list all the airlines that have flights from boston to san francisco,airline,atis,train
211,flights from nashville to orlando daily,flight,atis,train
212,show me first class flights from pittsburgh to san francisco on friday,flight,atis,train
213,i need the earliest flight from denver to boston that serves dinner,flight,atis,train
214,from toronto to atlanta in the afternoon,flight,atis,train
215,please list the friday afternoon flights from san jose to dallas on american airlines,flight,atis,train
216,is there ground transportation in boston from the airport,ground_service,atis,train
217,show first flight from pittsburgh to atlanta on wednesday,flight,atis,train
218,i 'm sorry i wanted to fly twa is there a flight between oakland and boston with a stopover in dallas fort worth on twa,flight,atis,train
219,show me all flights from san francisco to la guardia nonstop,flight,atis,train
220,what flights are there from pittsburgh to los angeles,flight,atis,train
221,what kind of ground transportation is there in washington dc,ground_service,atis,train
222,what is the least expensive flight available from dallas fort worth to san francisco,flight,atis,train
223,what does the fare code f mean,abbreviation,atis,train
224,what 's the most expensive way i can fly to washington,flight,atis,train
225,what flights from houston to milwaukee on friday on american airlines,flight,atis,train
226,what is the schedule of ground transportation from the airport in philadelphia into downtown,ground_service,atis,train
227,show me a list of flights from san francisco to boston for august thirtieth,flight,atis,train
228,show me the least expensive flight from miami to cleveland on sunday after noon,flight,atis,train
229,how much does it cost to go from downtown to logan airport,airfare,atis,train
230,what flights are there from newark to tampa,flight,atis,train
231,i want a flight from philadelphia to dallas that at least has one stop,flight,atis,train
232,show flights from denver to oakland arriving between 12 and 1 o'clock,flight,atis,train
233,what is the fare from san francisco to dallas fort worth on delta flight 852,airfare,atis,train
234,flights from newark new jersey to cleveland ohio,flight,atis,train
235,give me flights from denver to baltimore,flight,atis,train
236,show the flights from denver to san francisco,flight,atis,train
237,show me flights denver to washington dc on thursday,flight,atis,train
238,please list the thursday morning flights from st. louis to st. paul,flight,atis,train
239,what flight do you have from pittsburgh to san francisco on the morning of august twenty seventh,flight,atis,train
240,what are the flights from boston to atlanta,flight,atis,train
241,what flights from baltimore to san francisco arrive before 8 pm in san francisco,flight,atis,train
242,show me the flights from pittsburgh to san francisco for thursday night or friday,flight,atis,train
243,get me a first class flight on american to san francisco on tuesday next week,flight,atis,train
244,ground transportation in westchester county,ground_service,atis,train
245,what flights are there from atlanta to baltimore,flight,atis,train
246,i 'd like to fly from dallas to san francisco at approximately 615 pm,flight,atis,train
247,list the fares of us air flights from boston to philadelphia,airfare,atis,train
248,list flights from phoenix to detroit on thursday june twenty fourth,flight,atis,train
249,what flights from miami to indianapolis on sunday,flight,atis,train
250,now show me the flights from memphis to cleveland,flight,atis,train
251,can you give me information on all the flights from san francisco no from pittsburgh to san francisco on monday,flight,atis,train
252,could you find me a flight from boston to san francisco that stops in denver,flight,atis,train
253,flights from cleveland to miami,flight,atis,train
254,give me the flights from pittsburgh to los angeles thursday evening,flight,atis,train
255,please list all of the flights leaving atlanta heading to baltimore after 8 pm wednesday and before 9 am thursday,flight,atis,train
256,show me flights from seattle to san francisco that leave after 5 pm,flight,atis,train
257,show me the flights that go from tacoma to miami,flight,atis,train
258,which airline can fly me from atlanta to denver to san francisco,airline,atis,train
259,are there any flights from denver to pittsburgh with stops in atlanta,flight,atis,train
261,what is fare code h,abbreviation,atis,train
263,flights from nashville to seattle,flight,atis,train
264,show me fares from seattle to minneapolis,airfare,atis,train
265,i need a flight from boston to san francisco via dallas fort worth,flight,atis,train
266,i 'd like an afternoon flight from atlanta to san francisco with a stopover in denver arriving i 'd say about mealtime,flight,atis,train
267,show me the most expensive one way flight from detroit to westchester county,flight,atis,train
268,show me the flights from baltimore to philadelphia,flight,atis,train
269,from denver to washington dc on monday november eleventh 1991,flight,atis,train
271,list aircraft types that fly between boston and san francisco,aircraft,atis,train
272,what does fare code qw mean,abbreviation,atis,train
273,i 'm interested in a flight on american airlines from dallas to washington,flight,atis,train
274,give me flights from pittsburgh to baltimore,flight,atis,train
275,how much is a round trip fare from indianapolis to seattle,airfare,atis,train
276,what is the cheapest flight from long beach to memphis,flight,atis,train
277,which airline provides business class flights,airline,atis,train
280,list the flights arriving in atlanta from baltimore before noon on august fourth,flight,atis,train
281,give me the flights for american airline from philadelphia to dallas,flight,atis,train
282,i need a flight this sunday from miami to las vegas and i would prefer a morning flight,flight,atis,train
283,flights from boston to pittsburgh,flight,atis,train
284,which flights go from pittsburgh to atlanta in the evening,flight,atis,train
285,show me the fares from dallas to san francisco,airfare,atis,train
286,give me american airlines flights from milwaukee to phoenix on saturday and on sunday,flight,atis,train
287,list all flights that leave from baltimore or denver or pittsburgh and arrive in philadelphia,flight,atis,train
288,show me the flights from baltimore to oakland,flight,atis,train
289,show me the earliest flight from denver to las vegas,flight,atis,train
290,show me flights from milwaukee to orlando on wednesday night,flight,atis,train
291,may i have a listing of flights from milwaukee to tacoma washington departing in the evening,flight,atis,train
292,what morning flights do you have between oakland and denver,flight,atis,train
293,i 'd like a flight from washington that stops in denver and goes on to san francisco,flight,atis,train
294,show me all flights from pittsburgh to baltimore tomorrow,flight,atis,train
295,all one way flights between boston and philadelphia,flight,atis,train
296,what flights go to san francisco from boston,flight,atis,train
297,what flights are there from san francisco to philadelphia daily with economy class,flight,atis,train
298,first flights from pittsburgh to atlanta on a thursday,flight,atis,train
299,show me the flights from baltimore to atlanta,flight,atis,train
300,tell me about flights from toronto to salt lake city leaving after 530 pm,flight,atis,train
301,show me the flights from indianapolis to orlando with round trip fares less than 1288,flight,atis,train
302,i need a flight from boston to pittsburgh that leaves early in the morning,flight,atis,train
303,what is the first flight from atlanta to baltimore that serves lunch,flight,atis,train
304,show me the flights from pittsburgh to baltimore,flight,atis,train
305,all flights from denver to philadelphia,flight,atis,train
306,oakland to philadelphia saturday,flight,atis,train
307,give me the earliest flight tomorrow on united airlines from st. petersburg to milwaukee,flight,atis,train
308,show me flights on monday from philadelphia to boston after 7 am,flight,atis,train
309,show me all the flights leaving baltimore,flight,atis,train
310,show me the flights from philadelphia to boston,flight,atis,train
311,is there a plane from boston to washington,aircraft,atis,train
312,i need to go from boston to atlanta and back in the same day find me the earliest flight from boston,flight,atis,train
313,what are flights between boston and pittsburgh on august tenth,flight,atis,train
314,what are the schedule of flights from boston to san francisco for august first,flight_time,atis,train
316,show me all flights from pittsburgh to baltimore tomorrow which serve a meal,flight,atis,train
318,show all flights from pittsburgh to san francisco,flight,atis,train
319,i wish to fly from boston to washington please find an airline for me,flight,atis,train
320,please list the flights from dallas fort worth to dc baltimore on july twenty third,flight,atis,train
321,which flights from memphis to tacoma also stop in los angeles,flight,atis,train
322,show me the flights on tuesday morning from charlotte to baltimore,flight,atis,train
323,i need 2 first class tickets from dallas fort worth to san francisco,airfare,atis,train
324,are there any flights from philadelphia to dallas which stop in atlanta,flight,atis,train
325,flights to baltimore,flight,atis,train
327,what is the least expensive way to fly from philadelphia to san francisco,flight,atis,train
328,list all nonstop flights from los angeles to pittsburgh before 5 pm on tuesday,flight,atis,train
329,how many booking classes are there,quantity,atis,train
330,flight numbers from columbus to minneapolis tomorrow,flight_no,atis,train
331,give me the continental flights from chicago to seattle on friday,flight,atis,train
332,what are the united airlines flights between baltimore and denver on august twelfth,flight,atis,train
333,show me the flights next tuesday between philadelphia and san francisco,flight,atis,train
334,find a flight on american airlines from boston to san francisco that makes a stopover in denver,flight,atis,train
335,show me the fares on all flights round trip from pittsburgh to oakland,airfare,atis,train
337,flights from cincinnati to salt lake city,flight,atis,train
338,ground transportation denver,ground_service,atis,train
340,find a flight between denver and oakland the flight should be in the afternoon and arrive close to 5 pm the flight should be nonstop,flight,atis,train
341,show me all flights from atlanta to washington with prices,flight,atis,train
342,flights between new york and miami,flight,atis,train
343,please list the monday morning flights from kansas city to atlanta,flight,atis,train
344,list all american airlines flights from phoenix to milwaukee which arrive on wednesday after 4 pm,flight,atis,train
345,what round trip tickets are there from cleveland to miami on us air that arrive before 4 pm,airfare,atis,train
346,i 'd like to go from boston to denver at 9 o'clock saturday night,flight,atis,train
347,show me the northwest flights from detroit to st. petersburg,flight,atis,train
348,what is the available ground transportation between the airport in denver and downtown,ground_service,atis,train
350,show me all flights from indianapolis,flight,atis,train
351,which airlines have flights between philadelphia and pittsburgh,airline,atis,train
352,which are the flights from denver to baltimore or washington dc,flight,atis,train
353,list the number of flights leaving boston for dallas fort worth before 9 am in the morning,quantity,atis,train
354,are there delta flights leaving atlanta,flight,atis,train
355,can you list all round trip flights from orlando to kansas city and then to minneapolis,flight,atis,train
356,i would like to find a flight from kansas city to salt lake city on delta and arriving at about 8 o'clock in the evening could you please tell me the aircraft and the flight number thank you,flight,atis,train
357,i would like a flight from washington to boston leaving at 230 on august twentieth,flight,atis,train
358,how much is a flight from washington to boston,airfare,atis,train
359,show me all flights from orlando to san diego on a boeing 737,flight,atis,train
360,what flights are there on sunday from seattle to minneapolis,flight,atis,train
361,where is mco,city,atis,train
362,show me all flights from pittsburgh to atlanta,flight,atis,train
363,which united airlines flight flies across this continent and leaves from boston goes to dallas and makes a stopover in philadelphia,flight,atis,train
364,list daily flights of united airline from denver to baltimore with first class service,flight,atis,train
365,show me flights from pittsburgh to atlanta on monday morning,flight,atis,train
366,all flights phoenix to sfo,flight,atis,train
367,i want to travel from washington dc to philadelphia on tuesday morning,flight,atis,train
368,what is the fare going from atlanta to boston one way on november seventh,airfare,atis,train
370,what flights are available from san francisco to pittsburgh on thursday evening,flight,atis,train
371,do you have an afternoon flight leaving in the afternoon going from boston to san francisco with a stopover in dallas,flight,atis,train
372,show the flights from pittsburgh to san francisco again on monday,flight,atis,train
373,show me a list of flights on american airlines from boston to dc on july twenty second,flight,atis,train
374,now i 'd like flights from philadelphia to pittsburgh leaving between 430 and 530 pm,flight,atis,train
375,what economy flights are available from dallas to baltimore on december seventeenth,flight,atis,train
376,please show me flights from san francisco to dallas,flight,atis,train
377,please show me all the flights from indianapolis to san diego tomorrow,flight,atis,train
378,what does flight code us mean,flight,atis,train
379,i would like a flight from denver to pittsburgh,flight,atis,train
380,what is the flight schedule of the f28 from pittsburgh to baltimore,flight_time,atis,train
381,looking for a flight from dc to minnesota,flight,atis,train
382,how many us air flights leave from washington,quantity,atis,train
384,what flights are there on wednesday evening or thursday morning from denver to sfo,flight,atis,train
386,could you show me all the flights from oakland to salt lake city,flight,atis,train
387,find me a flight from boston to san francisco with layover in denver on united,flight,atis,train
388,what flights are available between boston and washington arriving in washington at 630,flight,atis,train
389,show me the airlines between toronto and denver,airline,atis,train
390,what flights do you have between pittsburgh and atlanta,flight,atis,train
391,show me the flights from denver to westchester county,flight,atis,train
392,i need information for a flight from denver to atlanta,flight,atis,train
393,what is the cheapest flight from boston to atlanta,flight,atis,train
394,what is the cheapest flight from atlanta to pittsburgh one way,flight,atis,train
395,show me all overnight flights from washington dc to san francisco and list their fares,flight,atis,train
396,round trip flights between new york and miami,flight,atis,train
397,show me the one way flight from detroit to westchester county with the highest fare,flight,atis,train
398,what flights are there from newark to chicago on continental,flight,atis,train
399,i 'm trying to make a connection between denver and san francisco does delta airline fly between those two,flight,atis,train
400,what is the latest us air flight leaving philadelphia and returning to boston,flight,atis,train
401,what flights does us air have from san francisco to pittsburgh on tuesday,flight,atis,train
402,can i fly from boston to baltimore washington,flight,atis,train
404,flights from las vegas to phoenix,flight,atis,train
407,flights from memphis to seattle,flight,atis,train
408,please show me flights from pittsburgh to atlanta on wednesday morning serving breakfast,flight,atis,train
409,flights from atlanta august second,flight,atis,train
411,yes i 'd like a flight from long beach to st. louis by way of dallas,flight,atis,train
412,i 'd like to know if you have any flights from denver to philadelphia,flight,atis,train
414,what is the first flight after 12 noon from washington for denver,flight,atis,train
415,how many delta flights leave from washington,quantity,atis,train
416,now list for me only the united flights that flight from oakland to boston,flight,atis,train
417,from philadelphia to toronto,flight,atis,train
419,what airplane types fly from pittsburgh to baltimore,aircraft,atis,train
420,what is the yn code,abbreviation,atis,train
421,i would like the earliest morning flight from atlanta to philadelphia on wednesday morning,flight,atis,train
422,how many seats in a 100,capacity,atis,train
423,may i have a listing of flights from long beach to columbus ohio on tuesday,flight,atis,train
424,what flights leave from phoenix to nashville on american airlines,flight,atis,train
425,show me all round trips from new york to miami leaving on tuesday,flight,atis,train
426,list all nonstop flights on sunday from tampa to charlotte,flight,atis,train
427,list all flights from burbank to denver,flight,atis,train
428,what are the round trip fares for flights from denver to philadelphia arriving after 1700 on continental,airfare,atis,train
430,please show me the flights from las vegas to detroit on the twenty eighth,flight,atis,train
431,what is ord,abbreviation,atis,train
432,what type of ground transportation is available between the airport and downtown san francisco,ground_service,atis,train
433,is the american flight 813 from boston to oakland a nonstop flight,flight,atis,train
434,give me the flights from washington dc to philadelphia for december second,flight,atis,train
435,show all connecting flights from pittsburgh to oakland,flight,atis,train
436,list daily flights from boston to oakland using twa,flight,atis,train
437,i would like the least expensive airfare flight on sunday to pittsburgh from san francisco,airfare,atis,train
438,i need a flight from san diego to indianapolis leaving in the afternoon on tuesday,flight,atis,train
439,can you give me the evening flight on wednesday from washington to atlanta again,flight,atis,train
440,i would like to book a flight from los angeles to pittsburgh on june first,flight,atis,train
441,what flights from atlanta to washington,flight,atis,train
442,show me all flights direct only from boston to san francisco or oakland that arrive before 10 am local time,flight,atis,train
443,first class round trip airfare from indianapolis to memphis,airfare,atis,train
444,flights from cincinnati to denver on american airlines,flight,atis,train
445,list all flights on continental leaving denver on sunday after 2134,flight,atis,train
446,show me all flights from charlotte,flight,atis,train
447,show me all nationair flights from toronto,flight,atis,train
448,what are the fares from newark to la monday and wednesday,airfare,atis,train
449,show me flights from denver to atlanta on june sixteenth,flight,atis,train
450,please show me round trip tickets from denver to oakland,airfare,atis,train
451,list all flights on united from san francisco to boston with fare code qx,flight,atis,train
453,list all flights going from boston to atlanta after 6 o'clock on wednesday and before 7 o'clock am on thursday,flight,atis,train
454,show me the flights to love field,flight,atis,train
455,show me flights from pittsburgh to philadelphia,flight,atis,train
456,show me the flights from philadelphia to atlanta,flight,atis,train
457,philadelphia to dallas arriving before 1 in the afternoon,flight,atis,train
458,i need a flight from tampa to montreal,flight,atis,train
459,please give me flights leaving san francisco and going to pittsburgh,flight,atis,train
460,what do you have from philadelphia to dallas on saturday morning,flight,atis,train
461,flight leaving from oakland to salt lake city,flight,atis,train
462,tell me about flights on american airlines from dallas fort worth to philadelphia on june twenty ninth,flight,atis,train
463,list all flights from boston to san francisco with the maximum number of stops,flight,atis,train
464,are there any flights from atlanta to denver,flight,atis,train
465,what are the flights dallas to boston on monday morning,flight,atis,train
466,show me flights leaving from denver colorado to pittsburgh pennsylvania on wednesdays after 5 pm,flight,atis,train
467,i need flight information between atlanta and boston,flight,atis,train
468,what are my choices of flights from las vegas to new york,flight,atis,train
469,what is the cheapest flight from boston to san francisco,flight,atis,train
470,on continental airlines any class service from san francisco to pittsburgh,flight,atis,train
471,find the cheapest flight from denver to atlanta with a stopover in pittsburgh,flight,atis,train
472,what are the lowest one way fares from atlanta to denver,airfare,atis,train
473,are there any flights from boston to san francisco stopping in denver,flight,atis,train
474,flights from kansas city to cleveland on wednesday,flight,atis,train
475,how much is a round trip fare from memphis to seattle,airfare,atis,train
476,show me the flights into love field,flight,atis,train
477,i 'd like to fly from philadelphia to dallas through atlanta,flight,atis,train
478,information on flights from pittsburgh to philadelphia,flight,atis,train
479,what flights does american airlines fly from philadelphia to dallas,flight,atis,train
480,i want to travel from kansas city to chicago round trip leaving wednesday june sixteenth arriving in chicago at around 7 o'clock in the evening and returning the next day arriving in kansas city at around 7 o'clock in the evening which airlines fly that route,flight,atis,train
481,i would like the time of all flights from san francisco to pittsburgh on sunday,flight_time,atis,train
482,show me ground transportation in dallas please,ground_service,atis,train
483,are there any nonstop flights leaving from denver arriving in baltimore on july seventh,flight,atis,train
484,how much does dl 746 cost,airfare,atis,train
486,please list ground transport in san francisco,ground_service,atis,train
487,i need a flight from ontario to los angeles on a thursday,flight,atis,train
488,show me flights from all airports to love field,flight,atis,train
489,list the flights from pittsburgh to san francisco on thursday,flight,atis,train
490,what flights are available from denver to baltimore first class on united airlines arriving may seventh before noon,flight,atis,train
